date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:24:40	78974/78974	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Apr%202021%2013:24:40%20GMT	https://www.reservhotel.com/win/owa/ibe5_rooms.main?hotel=10757&aDate=31-MAY-21&dDate=20-JUN-21&lang=1&source=&IP=&S=69289427&currency=&room=&rate=&allow_cash=N&agent=&usr=&showHotel=&sub_source=&view_type=&usr_country=PE&chat=Y&PCC=&AirportDep=&r=https%3A%2F%2Fwww.reservhotel.com%2Fwin%2Fowa%2Fibe5_rooms.main%3Fhotel%3D10757_aDate%3D26-MAY-21_dDate%3D31-MAY-21_lang%3D1_source%3D_IP%3D_S%3D692&rategroup=&hide_agent_info=&callc_num=&airport=ADZ&airportTo=CUN&adults=2&child=0&rooms=1&AFF=&PC=Promotional%2520Code&airline=&fareclass=E&stops=	/home/hectorsum/Desktop/Projects/hyattziva-rooms/www.reservhotel.com/win/owa/ibe5_roomse3d7.html	(from )
08:24:40	194/194	---MCZ	200	added ('OK')	text/plain	etag:W/%22123ce7-28d-59aee0ac30440%22	https://www.reservhotel.com/robots.txt		(from )
08:24:42	196/196	---MC-	200	added ('OK')	text/css	date:Mon,%2026%20Apr%202021%2013:24:41%20GMT	https://fonts.googleapis.com/css?family=Oswald	/home/hectorsum/Desktop/Projects/hyattziva-rooms/fonts.googleapis.com/css3f04.css	(from https://www.reservhotel.com/win/owa/ibe5_rooms.main?hotel=10757&aDate=31-MAY-21&dDate=20-JUN-21&lang=1&source=&IP=&S=69289427&currency=&room=&rate=&allow_cash=N&agent=&usr=&showHotel=&sub_source=&view_type=&usr_country=PE&chat=Y&PCC=&AirportDep=&r=https%3A%2F%2Fwww.reservhotel.com%2Fwin%2Fowa%2Fibe5_rooms.main%3Fhotel%3D10757_aDate%3D26-MAY-21_dDate%3D31-MAY-21_lang%3D1_source%3D_IP%3D_S%3D692&rategroup=&hide_agent_info=&callc_num=&airport=ADZ&airportTo=CUN&adults=2&child=0&rooms=1&AFF=&PC=Promotional%2520Code&airline=&fareclass=E&stops=)
08:24:43	150996/150996	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:02%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0-alpha.6/css/bootstrap.min.css	/home/hectorsum/Desktop/Projects/hyattziva-rooms/maxcdn.bootstrapcdn.com/bootstrap/4.0.0-alpha.6/css/bootstrap.min.css	(from https://www.reservhotel.com/win/owa/ibe5_rooms.main?hotel=10757&aDate=31-MAY-21&dDate=20-JUN-21&lang=1&source=&IP=&S=69289427&currency=&room=&rate=&allow_cash=N&agent=&usr=&showHotel=&sub_source=&view_type=&usr_country=PE&chat=Y&PCC=&AirportDep=&r=https%3A%2F%2Fwww.reservhotel.com%2Fwin%2Fowa%2Fibe5_rooms.main%3Fhotel%3D10757_aDate%3D26-MAY-21_dDate%3D31-MAY-21_lang%3D1_source%3D_IP%3D_S%3D692&rategroup=&hide_agent_info=&callc_num=&airport=ADZ&airportTo=CUN&adults=2&child=0&rooms=1&AFF=&PC=Promotional%2520Code&airline=&fareclass=E&stops=)
08:24:44	3779/3779	---MCZ	200	added ('OK')	text/css	etag:W/%22157469-ec3-55fc6f27d1400%22	https://www.reservhotel.com/ibe5/assets/css/bootstrap.min.css	/home/hectorsum/Desktop/Projects/hyattziva-rooms/www.reservhotel.com/ibe5/assets/css/bootstrap.min.css	(from https://www.reservhotel.com/win/owa/ibe5_rooms.main?hotel=10757&aDate=31-MAY-21&dDate=20-JUN-21&lang=1&source=&IP=&S=69289427&currency=&room=&rate=&allow_cash=N&agent=&usr=&showHotel=&sub_source=&view_type=&usr_country=PE&chat=Y&PCC=&AirportDep=&r=https%3A%2F%2Fwww.reservhotel.com%2Fwin%2Fowa%2Fibe5_rooms.main%3Fhotel%3D10757_aDate%3D26-MAY-21_dDate%3D31-MAY-21_lang%3D1_source%3D_IP%3D_S%3D692&rategroup=&hide_agent_info=&callc_num=&airport=ADZ&airportTo=CUN&adults=2&child=0&rooms=1&AFF=&PC=Promotional%2520Code&airline=&fareclass=E&stops=)
08:24:44	2326/2326	---MCZ	200	added ('OK')	text/css	etag:W/%22157477-c75-55fc6f27d1400%22	https://www.reservhotel.com/ibe5/assets/css/flexslider.css	/home/hectorsum/Desktop/Projects/hyattziva-rooms/www.reservhotel.com/ibe5/assets/css/flexslider.css	(from https://www.reservhotel.com/win/owa/ibe5_rooms.main?hotel=10757&aDate=31-MAY-21&dDate=20-JUN-21&lang=1&source=&IP=&S=69289427&currency=&room=&rate=&allow_cash=N&agent=&usr=&showHotel=&sub_source=&view_type=&usr_country=PE&chat=Y&PCC=&AirportDep=&r=https%3A%2F%2Fwww.reservhotel.com%2Fwin%2Fowa%2Fibe5_rooms.main%3Fhotel%3D10757_aDate%3D26-MAY-21_dDate%3D31-MAY-21_lang%3D1_source%3D_IP%3D_S%3D692&rategroup=&hide_agent_info=&callc_num=&airport=ADZ&airportTo=CUN&adults=2&child=0&rooms=1&AFF=&PC=Promotional%2520Code&airline=&fareclass=E&stops=)
08:24:45	3606/3606	---MCZ	200	added ('OK')	text/css	etag:W/%2215747f-1332-55fc6f27d1400%22	https://www.reservhotel.com/ibe5/assets/css/jquery.fancybox.css	/home/hectorsum/Desktop/Projects/hyattziva-rooms/www.reservhotel.com/ibe5/assets/css/jquery.fancybox.css	(from https://www.reservhotel.com/win/owa/ibe5_rooms.main?hotel=10757&aDate=31-MAY-21&dDate=20-JUN-21&lang=1&source=&IP=&S=69289427&currency=&room=&rate=&allow_cash=N&agent=&usr=&showHotel=&sub_source=&view_type=&usr_country=PE&chat=Y&PCC=&AirportDep=&r=https%3A%2F%2Fwww.reservhotel.com%2Fwin%2Fowa%2Fibe5_rooms.main%3Fhotel%3D10757_aDate%3D26-MAY-21_dDate%3D31-MAY-21_lang%3D1_source%3D_IP%3D_S%3D692&rategroup=&hide_agent_info=&callc_num=&airport=ADZ&airportTo=CUN&adults=2&child=0&rooms=1&AFF=&PC=Promotional%2520Code&airline=&fareclass=E&stops=)
08:24:47	31004/31004	---MCZ	200	added ('OK')	text/css	etag:W/%2213bf44-791c-55fc6f27d1400%22	https://www.reservhotel.com/ibe5/assets/css/font_awesome/css/font-awesome.min.css	/home/hectorsum/Desktop/Projects/hyattziva-rooms/www.reservhotel.com/ibe5/assets/css/font_awesome/css/font-awesome.min.css	(from https://www.reservhotel.com/win/owa/ibe5_rooms.main?hotel=10757&aDate=31-MAY-21&dDate=20-JUN-21&lang=1&source=&IP=&S=69289427&currency=&room=&rate=&allow_cash=N&agent=&usr=&showHotel=&sub_source=&view_type=&usr_country=PE&chat=Y&PCC=&AirportDep=&r=https%3A%2F%2Fwww.reservhotel.com%2Fwin%2Fowa%2Fibe5_rooms.main%3Fhotel%3D10757_aDate%3D26-MAY-21_dDate%3D31-MAY-21_lang%3D1_source%3D_IP%3D_S%3D692&rategroup=&hide_agent_info=&callc_num=&airport=ADZ&airportTo=CUN&adults=2&child=0&rooms=1&AFF=&PC=Promotional%2520Code&airline=&fareclass=E&stops=)
08:24:48	20186/20186	---MCZ	200	added ('OK')	text/css	etag:W/%2215747b-781f-57a050d5a4c40%22	https://www.reservhotel.com/ibe5/assets/css/index.css	/home/hectorsum/Desktop/Projects/hyattziva-rooms/www.reservhotel.com/ibe5/assets/css/index.css	(from https://www.reservhotel.com/win/owa/ibe5_rooms.main?hotel=10757&aDate=31-MAY-21&dDate=20-JUN-21&lang=1&source=&IP=&S=69289427&currency=&room=&rate=&allow_cash=N&agent=&usr=&showHotel=&sub_source=&view_type=&usr_country=PE&chat=Y&PCC=&AirportDep=&r=https%3A%2F%2Fwww.reservhotel.com%2Fwin%2Fowa%2Fibe5_rooms.main%3Fhotel%3D10757_aDate%3D26-MAY-21_dDate%3D31-MAY-21_lang%3D1_source%3D_IP%3D_S%3D692&rategroup=&hide_agent_info=&callc_num=&airport=ADZ&airportTo=CUN&adults=2&child=0&rooms=1&AFF=&PC=Promotional%2520Code&airline=&fareclass=E&stops=)
08:24:49	11265/11265	---MCZ	200	added ('OK')	text/css	etag:W/%22157486-424f-578fce57fc140%22	https://www.reservhotel.com/ibe5/assets/css/rooms_2.css	/home/hectorsum/Desktop/Projects/hyattziva-rooms/www.reservhotel.com/ibe5/assets/css/rooms_2.css	(from https://www.reservhotel.com/win/owa/ibe5_rooms.main?hotel=10757&aDate=31-MAY-21&dDate=20-JUN-21&lang=1&source=&IP=&S=69289427&currency=&room=&rate=&allow_cash=N&agent=&usr=&showHotel=&sub_source=&view_type=&usr_country=PE&chat=Y&PCC=&AirportDep=&r=https%3A%2F%2Fwww.reservhotel.com%2Fwin%2Fowa%2Fibe5_rooms.main%3Fhotel%3D10757_aDate%3D26-MAY-21_dDate%3D31-MAY-21_lang%3D1_source%3D_IP%3D_S%3D692&rategroup=&hide_agent_info=&callc_num=&airport=ADZ&airportTo=CUN&adults=2&child=0&rooms=1&AFF=&PC=Promotional%2520Code&airline=&fareclass=E&stops=)
08:24:49	3087/3087	---MCZ	200	added ('OK')	text/css	etag:W/%22157480-111c-55fc6f27d1400%22	https://www.reservhotel.com/ibe5/assets/css/modal_index.css	/home/hectorsum/Desktop/Projects/hyattziva-rooms/www.reservhotel.com/ibe5/assets/css/modal_index.css	(from https://www.reservhotel.com/win/owa/ibe5_rooms.main?hotel=10757&aDate=31-MAY-21&dDate=20-JUN-21&lang=1&source=&IP=&S=69289427&currency=&room=&rate=&allow_cash=N&agent=&usr=&showHotel=&sub_source=&view_type=&usr_country=PE&chat=Y&PCC=&AirportDep=&r=https%3A%2F%2Fwww.reservhotel.com%2Fwin%2Fowa%2Fibe5_rooms.main%3Fhotel%3D10757_aDate%3D26-MAY-21_dDate%3D31-MAY-21_lang%3D1_source%3D_IP%3D_S%3D692&rategroup=&hide_agent_info=&callc_num=&airport=ADZ&airportTo=CUN&adults=2&child=0&rooms=1&AFF=&PC=Promotional%2520Code&airline=&fareclass=E&stops=)
08:24:50	2954/2954	---MCZ	200	added ('OK')	text/css	etag:W/%22157481-b8a-55fc6f27d1400%22	https://www.reservhotel.com/ibe5/assets/css/owl.carousel.min.css	/home/hectorsum/Desktop/Projects/hyattziva-rooms/www.reservhotel.com/ibe5/assets/css/owl.carousel.min.css	(from https://www.reservhotel.com/win/owa/ibe5_rooms.main?hotel=10757&aDate=31-MAY-21&dDate=20-JUN-21&lang=1&source=&IP=&S=69289427&currency=&room=&rate=&allow_cash=N&agent=&usr=&showHotel=&sub_source=&view_type=&usr_country=PE&chat=Y&PCC=&AirportDep=&r=https%3A%2F%2Fwww.reservhotel.com%2Fwin%2Fowa%2Fibe5_rooms.main%3Fhotel%3D10757_aDate%3D26-MAY-21_dDate%3D31-MAY-21_lang%3D1_source%3D_IP%3D_S%3D692&rategroup=&hide_agent_info=&callc_num=&airport=ADZ&airportTo=CUN&adults=2&child=0&rooms=1&AFF=&PC=Promotional%2520Code&airline=&fareclass=E&stops=)
08:24:53	69468/69468	---MCZ	200	added ('OK')	application/javascript	etag:W/%2213e146-10f5c-55fc6f27d1400%22	https://www.reservhotel.com/ibe5/assets/js/libs/jquery-ui-1.10.3.custom.min.js	/home/hectorsum/Desktop/Projects/hyattziva-rooms/www.reservhotel.com/ibe5/assets/js/libs/jquery-ui-1.10.3.custom.min.js	(from https://www.reservhotel.com/win/owa/ibe5_rooms.main?hotel=10757&aDate=31-MAY-21&dDate=20-JUN-21&lang=1&source=&IP=&S=69289427&currency=&room=&rate=&allow_cash=N&agent=&usr=&showHotel=&sub_source=&view_type=&usr_country=PE&chat=Y&PCC=&AirportDep=&r=https%3A%2F%2Fwww.reservhotel.com%2Fwin%2Fowa%2Fibe5_rooms.main%3Fhotel%3D10757_aDate%3D26-MAY-21_dDate%3D31-MAY-21_lang%3D1_source%3D_IP%3D_S%3D692&rategroup=&hide_agent_info=&callc_num=&airport=ADZ&airportTo=CUN&adults=2&child=0&rooms=1&AFF=&PC=Promotional%2520Code&airline=&fareclass=E&stops=)
08:24:53	89475/89475	---MCZ	200	added ('OK')	application/javascript	etag:W/%221adf30-15d83-5ba6fbd806dc0%22	https://www.reservhotel.com/ibe5/assets/js/jquery-3.5.1.min.js	/home/hectorsum/Desktop/Projects/hyattziva-rooms/www.reservhotel.com/ibe5/assets/js/jquery-3.5.1.min.js	(from https://www.reservhotel.com/win/owa/ibe5_rooms.main?hotel=10757&aDate=31-MAY-21&dDate=20-JUN-21&lang=1&source=&IP=&S=69289427&currency=&room=&rate=&allow_cash=N&agent=&usr=&showHotel=&sub_source=&view_type=&usr_country=PE&chat=Y&PCC=&AirportDep=&r=https%3A%2F%2Fwww.reservhotel.com%2Fwin%2Fowa%2Fibe5_rooms.main%3Fhotel%3D10757_aDate%3D26-MAY-21_dDate%3D31-MAY-21_lang%3D1_source%3D_IP%3D_S%3D692&rategroup=&hide_agent_info=&callc_num=&airport=ADZ&airportTo=CUN&adults=2&child=0&rooms=1&AFF=&PC=Promotional%2520Code&airline=&fareclass=E&stops=)
08:24:54	28901/28901	---MCZ	200	added ('OK')	application/javascript	etag:W/%2213e142-70e5-5603c63c96300%22	https://www.reservhotel.com/ibe5/assets/js/libs/bootstrap.min.js	/home/hectorsum/Desktop/Projects/hyattziva-rooms/www.reservhotel.com/ibe5/assets/js/libs/bootstrap.min.js	(from https://www.reservhotel.com/win/owa/ibe5_rooms.main?hotel=10757&aDate=31-MAY-21&dDate=20-JUN-21&lang=1&source=&IP=&S=69289427&currency=&room=&rate=&allow_cash=N&agent=&usr=&showHotel=&sub_source=&view_type=&usr_country=PE&chat=Y&PCC=&AirportDep=&r=https%3A%2F%2Fwww.reservhotel.com%2Fwin%2Fowa%2Fibe5_rooms.main%3Fhotel%3D10757_aDate%3D26-MAY-21_dDate%3D31-MAY-21_lang%3D1_source%3D_IP%3D_S%3D692&rategroup=&hide_agent_info=&callc_num=&airport=ADZ&airportTo=CUN&adults=2&child=0&rooms=1&AFF=&PC=Promotional%2520Code&airline=&fareclass=E&stops=)
08:24:54	2272/2272	---MCZ	200	added ('OK')	application/javascript	etag:W/%2213e157-1308-55fc6f27d1400%22	https://www.reservhotel.com/ibe5/assets/js/libs/picture.js	/home/hectorsum/Desktop/Projects/hyattziva-rooms/www.reservhotel.com/ibe5/assets/js/libs/picture.js	(from https://www.reservhotel.com/win/owa/ibe5_rooms.main?hotel=10757&aDate=31-MAY-21&dDate=20-JUN-21&lang=1&source=&IP=&S=69289427&currency=&room=&rate=&allow_cash=N&agent=&usr=&showHotel=&sub_source=&view_type=&usr_country=PE&chat=Y&PCC=&AirportDep=&r=https%3A%2F%2Fwww.reservhotel.com%2Fwin%2Fowa%2Fibe5_rooms.main%3Fhotel%3D10757_aDate%3D26-MAY-21_dDate%3D31-MAY-21_lang%3D1_source%3D_IP%3D_S%3D692&rategroup=&hide_agent_info=&callc_num=&airport=ADZ&airportTo=CUN&adults=2&child=0&rooms=1&AFF=&PC=Promotional%2520Code&airline=&fareclass=E&stops=)
